HGenerator;HGenerator_cod;Name;Ghbus;Ghbus_Name;GENCO;GENCO_Name;Ghzone;Ghzone_Name;Qhmax;Qhmin;Rup;Rdown;Vmax;Vmin;Vi;p;pc;WV
135;277;Hydro 135;25;AM;3;GENCO 3;4;N;1083;0;173;173;20006.22;9711.9;17083.66;0.2;0.2;10.96
136;278;Hydro 136;7;MT;49;GENCO 49;1;SECO;374;0;148;148;7337;4386;6242.77;0.494;0.494;9.56
137;279;Hydro 137;8;RO;35;GENCO 35;1;SECO;729;0;155;155;3493.44;943.23;1374.73;0.265;0.265;13.77
138;280;Hydro 138;24;AP;35;GENCO 35;4;N;416;0;60;60;138.8;24.57;138.8;0.179;0.329;4.81
139;281;Hydro 139;7;MT;43;GENCO 43;1;SECO;79;0;139;139;199;199;199;2.204;2.204;10.17
140;283;Hydro 140;3;MG;76;GENCO 76;1;SECO;127;0;46;46;146;146;146;0.448;0.448;10.22
141;284;Hydro 141;24;AP;2;GENCO 2;4;N;1444;0;172;172;137.31;137.31;137.31;0.149;0.149;9.93
142;285;Hydro 142;8;RO;47;GENCO 47;1;SECO;23874;0;2044;2044;2746.7;1249.83;1249.83;0.107;0.314;3.47
143;286;Hydro 143;24;AP;32;GENCO 32;4;N;1476;0;273;273;133.39;104.61;104.9;0.231;0.231;9.98
144;287;Hydro 144;8;RO;77;GENCO 77;1;SECO;21561;0;3571;3571;2282.8;2077.3;2077.3;0.207;0.207;6.96
145;288;Hydro 145;23;PA;64;GENCO 64;4;N;13382;0;8575;8575;4802.3;4802.3;4802.3;0.801;0.801;10.46
146;290;Hydro 146;6;GO;16;GENCO 16;1;SECO;70;0;22;22;209;71;127.14;0.391;2.15;9.56
147;304;Hydro 147;7;MT;11;GENCO 11;1;SECO;74;0;45;45;5;5;5;0.766;1.987;10.17
148;305;Hydro 148;7;MT;11;GENCO 11;1;SECO;73;0;71;71;1;1;1;1.22;1.22;10.14
149;310;Hydro 149;7;MT;63;GENCO 63;1;SECO;288;0;200;200;0.12;0.12;0.12;0.866;0.866;10.23
150;311;Hydro 150;6;GO;58;GENCO 58;1;SECO;249;0;48;48;227.45;195.76;227.36;0.241;2.56;9.64
151;312;Hydro 151;6;GO;58;GENCO 58;1;SECO;255;0;65;65;347.8;300;347.18;0.321;2.319;9.6
152;314;Hydro 152;23;PA;64;GENCO 64;4;N;1845;0;171;171;4802.3;4802.3;4802.3;0.116;0.116;68
153;315;Hydro 153;6;GO;2;GENCO 2;1;SECO;273;0;52;52;95.33;95.33;95.33;0.239;1.998;9.57
